-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2022 
Location: Latitude  51.8997   Longitude 17.7874 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 101.54 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,PRECTOTCORR,QV2M,PS,WS10M,WS50M
2021,3,30,12.57,0.24,7.63,101.6,3.49,5.27
2021,3,31,13.24,0.01,7.02,101.11,2.47,3.54
2021,4,1,10.86,2.62,6.23,100.23,4.31,6.21
2021,4,2,5.71,0.71,3.97,100.41,3.31,4.67
2021,4,3,4.56,1.7,4.15,100.48,4.25,5.84
2021,4,4,3.76,0.0,3.3,100.63,3.26,5.02
2021,4,5,3.34,3.59,4.09,98.85,7.07,9.53
2021,4,6,1.31,0.18,3.17,99.11,6.29,8.55
2021,4,7,1.77,0.84,3.3,99.48,6.18,8.55
2021,4,8,2.59,1.69,3.78,100.38,6.22,8.85
2021,4,9,5.23,0.0,3.78,100.52,5.72,8.89
2021,4,10,7.8,0.59,5.19,100.27,2.51,3.83
2021,4,11,10.62,0.07,6.23,100.17,5.97,8.59
2021,4,12,4.99,3.21,4.88,100.68,5.23,6.94
2021,4,13,4.63,0.58,3.78,101.27,3.45,5.34
2021,4,14,3.76,0.82,3.91,101.11,4.2,6.16
2021,4,15,2.27,12.63,4.21,100.82,6.11,7.81
2021,4,16,4.37,4.52,4.82,100.65,4.67,6.19
2021,4,17,6.12,1.1,5.31,100.69,1.56,2.07
2021,4,18,8.23,1.18,5.49,100.72,2.21,2.89
2021,4,19,10.08,1.77,6.04,100.52,2.12,2.97
2021,4,20,10.39,1.76,6.04,100.21,1.5,2.41
2021,4,21,10.75,0.26,5.62,99.9,4.24,6.65
2021,4,22,6.23,1.44,4.15,100.35,5.91,8.52
2021,4,23,4.43,0.51,3.91,100.93,4.59,6.62
2021,4,24,5.37,0.47,3.85,101.0,3.85,5.9
2021,4,25,3.64,0.02,2.93,100.88,3.88,5.59
2021,4,26,2.62,0.03,2.99,100.73,2.88,4.19
2021,4,27,4.57,0.0,3.11,100.43,2.73,4.12
2021,4,28,8.29,0.0,4.09,99.88,4.84,7.49
2021,4,29,11.3,1.0,6.71,99.26,4.42,7.2
2021,4,30,9.5,0.81,5.74,99.76,4.77,6.73
2021,5,1,7.52,3.63,5.68,100.15,2.09,3.34
2021,5,2,4.31,45.67,5.07,99.42,7.6,9.93
2021,5,3,5.55,1.92,4.64,100.32,5.13,7.2
2021,5,4,9.56,0.72,5.62,99.48,7.09,10.34
2021,5,5,9.48,0.19,5.25,98.89,6.62,9.47
2021,5,6,7.53,0.65,4.52,99.44,6.23,8.49
2021,5,7,6.12,8.11,5.13,99.51,3.8,5.05
2021,5,8,7.26,0.61,4.58,100.55,4.76,6.45
2021,5,9,13.65,0.0,6.59,100.27,5.7,8.52
2021,5,10,17.37,0.0,8.36,99.93,6.45,9.93
2021,5,11,19.8,0.0,9.64,99.6,6.3,9.85
2021,5,12,19.83,0.45,10.62,99.27,3.62,5.53
2021,5,13,16.54,0.09,7.93,98.88,2.69,3.78
2021,5,14,13.13,0.61,7.63,99.11,4.62,6.14
2021,5,15,13.37,1.8,7.32,99.55,3.11,4.95
2021,5,16,12.88,5.07,7.63,99.18,3.34,5.04
2021,5,17,12.48,5.28,7.51,99.16,2.38,3.73
2021,5,18,11.85,7.08,7.93,99.54,3.88,5.89
2021,5,19,12.33,0.81,6.77,99.99,3.81,5.55
2021,5,20,11.86,0.56,6.16,100.36,3.46,5.22
2021,5,21,13.33,0.18,6.84,99.77,6.12,8.76
2021,5,22,12.62,4.83,7.2,99.43,5.13,7.69
2021,5,23,12.31,0.87,6.77,100.1,4.8,7.26
2021,5,24,13.8,0.47,6.9,100.57,4.95,7.17
2021,5,25,13.23,3.16,7.14,99.99,5.93,8.21
2021,5,26,12.15,1.52,6.53,100.16,6.17,8.67
2021,5,27,12.48,1.1,6.96,100.18,4.84,6.76
2021,5,28,11.48,1.68,7.02,100.59,3.52,5.16
2021,5,29,10.79,2.34,6.77,100.8,3.73,5.56
2021,5,30,11.3,0.3,6.16,101.13,3.96,5.72
2021,5,31,13.2,0.0,6.04,100.99,2.86,4.05
2021,6,1,13.22,2.88,7.45,100.64,2.65,4.3
2021,6,2,15.85,0.0,7.32,100.99,4.0,6.41
2021,6,3,16.69,0.0,7.14,101.31,3.0,4.69
2021,6,4,18.39,3.76,8.24,101.13,2.86,4.46
2021,6,5,18.37,2.51,9.64,100.79,3.44,5.06
2021,6,6,19.51,0.0,9.03,100.73,1.95,3.01
2021,6,7,20.78,0.0,9.16,100.69,1.85,2.89
2021,6,8,19.77,0.01,9.46,100.69,3.09,4.62
2021,6,9,18.93,0.03,9.34,100.71,3.41,4.91
2021,6,10,19.58,0.88,9.09,100.61,2.2,3.0
2021,6,11,19.9,3.94,10.25,100.36,2.5,3.48
2021,6,12,17.5,9.72,10.56,100.03,4.83,6.97
2021,6,13,14.21,0.26,7.14,100.72,6.22,8.7
2021,6,14,16.48,0.0,7.08,100.93,1.72,2.75
2021,6,15,19.16,0.14,9.22,100.59,2.8,4.76
2021,6,16,19.45,0.22,10.31,100.68,2.9,4.27
2021,6,17,22.75,0.0,11.35,100.67,4.28,6.62
2021,6,18,23.91,0.0,10.99,100.55,3.75,6.04
2021,6,19,25.39,0.0,12.21,100.32,3.97,6.38
2021,6,20,25.95,0.0,12.88,99.95,5.33,7.63
2021,6,21,26.13,1.91,13.67,99.55,4.28,6.18
2021,6,22,23.5,16.57,15.26,99.73,2.73,3.59
2021,6,23,19.56,0.66,10.44,100.59,3.12,4.2
2021,6,24,19.86,7.51,12.02,100.4,3.28,4.62
2021,6,25,18.33,1.55,10.5,100.39,2.35,3.49
2021,6,26,19.48,1.87,10.25,100.58,2.24,3.11
2021,6,27,20.32,0.01,9.22,100.5,2.19,2.87
2021,6,28,22.41,0.03,9.64,100.44,1.98,2.63
2021,6,29,23.64,0.53,10.19,99.98,3.73,5.77
2021,6,30,21.33,6.25,12.45,99.5,5.42,7.42
2021,7,1,19.29,0.65,9.95,99.81,4.08,5.9
2021,7,2,18.51,2.18,10.19,100.09,3.62,5.22
2021,7,3,19.69,0.72,10.31,100.14,4.07,5.56
2021,7,4,21.11,0.4,10.13,99.94,1.46,1.98
2021,7,5,21.76,0.27,10.5,99.8,2.76,3.91
2021,7,6,23.74,0.0,10.93,100.0,3.23,4.73
2021,7,7,23.26,0.99,11.66,100.36,3.58,4.91
2021,7,8,21.75,11.57,12.39,100.75,2.27,3.29
2021,7,9,21.85,19.8,14.4,100.24,2.98,4.23
2021,7,10,19.1,0.55,10.13,100.52,4.66,6.14
2021,7,11,21.48,0.1,10.68,100.56,3.4,5.24
2021,7,12,20.83,9.11,13.37,100.19,2.64,3.85
2021,7,13,23.49,0.12,12.88,99.85,3.62,5.6
2021,7,14,25.01,1.81,13.79,99.78,2.27,3.33
2021,7,15,23.17,10.19,14.16,99.97,1.8,2.61
2021,7,16,23.03,3.1,13.73,100.27,2.18,3.1
2021,7,17,22.39,4.66,15.08,100.29,3.46,4.99
2021,7,18,22.33,0.07,11.9,100.34,4.4,6.3
2021,7,19,19.41,1.22,9.58,100.41,3.15,4.55
2021,7,20,18.29,0.28,8.54,100.5,2.9,4.53
2021,7,21,18.78,0.13,9.09,100.81,3.67,5.57
2021,7,22,18.69,0.82,9.7,100.85,1.92,2.73
2021,7,23,20.93,0.06,9.4,100.48,2.03,2.88
2021,7,24,22.32,0.01,9.34,100.27,3.14,4.85
2021,7,25,22.08,0.27,10.13,100.05,3.73,5.76
2021,7,26,23.87,0.29,11.72,99.88,2.38,3.97
2021,7,27,24.17,2.53,11.72,100.03,3.69,5.38
2021,7,28,23.61,3.77,11.84,99.92,3.12,4.66
2021,7,29,22.0,0.07,9.77,99.9,5.02,7.38
2021,7,30,21.76,0.0,8.3,99.74,3.82,5.32
2021,7,31,22.57,0.15,9.03,99.48,4.73,7.23
2021,8,1,18.08,8.72,8.97,99.56,2.03,3.1
2021,8,2,17.6,1.62,8.61,99.78,4.79,6.99
2021,8,3,18.24,0.68,8.06,100.16,2.44,3.61
2021,8,4,17.62,2.61,8.79,100.14,1.45,2.24
2021,8,5,16.62,5.01,9.77,99.77,4.33,6.32
2021,8,6,15.94,6.13,8.79,99.34,3.98,5.75
2021,8,7,19.83,1.54,9.34,99.45,3.52,5.01
2021,8,8,20.16,8.84,10.31,99.77,4.91,6.82
2021,8,9,20.3,0.08,8.3,100.65,3.6,4.99
2021,8,10,20.26,2.71,9.16,100.53,2.82,4.09
2021,8,11,18.58,0.23,8.79,100.58,4.04,5.7
2021,8,12,21.01,0.0,8.0,100.95,1.57,2.11
2021,8,13,22.91,0.0,9.03,100.83,2.42,3.8
2021,8,14,23.07,0.0,10.13,100.6,3.8,5.49
2021,8,15,22.63,0.0,9.52,100.15,3.08,4.55
2021,8,16,23.66,1.0,10.13,99.48,4.58,6.67
2021,8,17,16.69,0.93,7.51,99.84,7.8,10.38
2021,8,18,17.6,0.08,7.75,99.96,6.62,8.91
2021,8,19,18.71,0.14,8.85,99.97,5.73,8.12
2021,8,20,18.48,3.89,9.64,100.32,3.73,5.53
2021,8,21,18.54,0.08,8.67,100.67,3.3,4.61
2021,8,22,19.9,3.21,9.52,100.49,2.52,4.14
2021,8,23,16.75,23.15,10.93,100.39,5.13,6.8
2021,8,24,15.49,1.27,7.87,101.06,5.62,7.94
2021,8,25,15.11,0.63,6.41,100.5,3.41,5.17
2021,8,26,14.71,6.01,8.42,99.38,4.09,5.73
2021,8,27,14.51,1.16,7.39,99.86,1.54,2.07
2021,8,28,16.48,0.07,7.14,100.16,0.77,1.02
2021,8,29,15.99,0.89,8.06,100.1,1.59,2.02
2021,8,30,14.94,10.37,8.97,99.99,1.54,2.39
2021,8,31,15.06,20.38,9.95,100.03,6.09,8.75
2021,9,1,15.47,0.51,8.12,100.84,5.08,7.25
2021,9,2,15.79,0.03,7.75,101.14,3.62,5.46
2021,9,3,16.12,0.0,8.12,100.67,4.41,6.49
2021,9,4,14.81,0.05,7.39,100.69,3.67,5.48
2021,9,5,14.36,0.0,5.92,101.29,4.53,6.48
2021,9,6,14.45,0.0,5.55,101.34,3.29,5.3
2021,9,7,17.4,0.0,7.39,101.08,1.8,2.81
2021,9,8,18.55,0.0,8.12,100.99,3.06,4.92
2021,9,9,18.68,0.0,7.14,100.46,5.2,8.54
2021,9,10,19.85,0.0,7.69,100.29,3.59,5.98
2021,9,11,18.17,13.34,10.62,100.36,2.96,5.02
2021,9,12,18.55,0.92,10.86,100.34,2.97,4.73
2021,9,13,17.46,0.51,9.7,100.48,3.38,5.21
2021,9,14,16.51,0.03,8.54,100.67,1.59,2.71
2021,9,15,18.46,0.06,9.16,100.31,3.77,6.09
2021,9,16,18.65,2.22,10.99,99.94,3.88,6.12
2021,9,17,15.82,2.35,8.91,99.87,4.32,6.24
2021,9,18,12.52,2.04,7.81,100.04,4.44,5.98
2021,9,19,11.99,0.12,6.1,100.37,3.44,4.99
2021,9,20,11.37,0.03,5.92,100.73,3.27,4.86
2021,9,21,10.72,3.0,5.8,101.22,3.05,4.32
2021,9,22,10.53,0.77,6.23,101.1,2.55,3.9
2021,9,23,13.58,0.83,7.51,100.07,7.05,10.09
2021,9,24,13.95,0.09,6.9,99.75,8.17,11.43
2021,9,25,16.79,0.26,9.89,100.3,5.26,7.69
2021,9,26,17.48,0.06,9.77,100.77,2.69,4.06
2021,9,27,16.48,0.08,8.42,100.68,5.33,7.26
2021,9,28,14.42,0.55,6.96,100.93,4.01,5.55
2021,9,29,11.69,0.61,6.53,100.82,4.95,7.05
2021,9,30,11.49,0.45,6.16,101.3,4.16,6.12
2021,10,1,11.18,0.0,5.43,101.29,4.67,7.17
2021,10,2,13.59,0.01,6.84,100.48,4.73,7.01
2021,10,3,15.08,0.0,6.84,100.2,6.2,9.3
2021,10,4,15.66,0.03,8.67,100.42,2.3,4.02
2021,10,5,18.26,1.16,8.48,100.01,6.61,9.58
2021,10,6,15.01,10.13,9.22,100.44,1.78,2.95
2021,10,7,12.96,0.57,7.45,101.43,2.98,4.59
2021,10,8,8.24,0.0,4.27,102.06,4.69,7.41
2021,10,9,7.15,0.0,3.91,102.2,4.21,6.95
2021,10,10,6.46,0.0,3.54,101.73,3.3,5.48
2021,10,11,6.22,0.22,4.58,100.83,3.55,5.52
2021,10,12,7.15,2.37,5.86,100.1,4.95,6.91
2021,10,13,6.62,0.51,5.0,100.55,3.68,5.37
2021,10,14,7.44,1.39,5.74,100.76,4.88,7.05
2021,10,15,10.69,1.25,6.84,100.22,6.59,9.1
2021,10,16,7.36,0.25,5.31,100.75,4.2,5.95
2021,10,17,8.19,0.29,4.88,100.78,3.98,6.34
2021,10,18,9.32,0.54,6.29,101.1,3.48,5.52
2021,10,19,10.99,0.03,5.92,100.9,4.37,6.94
2021,10,20,14.79,0.3,7.57,99.74,7.16,10.1
2021,10,21,13.09,1.86,7.02,98.7,11.02,14.91
2021,10,22,7.99,1.71,4.94,99.63,10.09,13.39
2021,10,23,6.61,0.52,4.88,100.83,7.26,10.01
2021,10,24,5.4,0.01,4.27,101.8,3.24,5.32
2021,10,25,6.19,0.0,3.72,101.1,4.88,8.17
2021,10,26,8.37,0.1,5.37,100.8,4.45,7.06
2021,10,27,10.51,0.03,6.53,101.1,5.12,7.59
2021,10,28,10.01,0.0,5.8,101.09,3.68,6.45
2021,10,29,8.79,0.0,4.33,100.57,5.33,9.02
2021,10,30,9.73,0.0,4.76,100.19,6.24,9.95
2021,10,31,10.58,0.0,5.43,100.04,5.01,8.11
2021,11,1,10.2,0.05,5.86,99.25,4.52,6.7
2021,11,2,7.62,7.72,6.41,98.9,2.92,4.78
2021,11,3,7.45,0.13,5.49,99.33,3.56,5.23
2021,11,4,8.58,9.26,6.1,98.8,8.73,11.88
2021,11,5,7.25,1.79,5.62,100.23,8.41,11.09
2021,11,6,7.3,0.05,5.37,101.15,6.61,9.3
2021,11,7,5.41,0.55,4.88,100.09,7.18,9.79
2021,11,8,6.59,3.7,5.8,100.45,5.19,7.3
2021,11,9,5.0,0.1,5.07,101.67,2.94,4.73
2021,11,10,5.16,0.01,4.64,101.48,4.14,6.36
2021,11,11,3.28,0.01,4.58,101.13,3.04,5.02
2021,11,12,2.96,0.25,4.46,101.0,3.18,4.53
2021,11,13,4.08,0.01,4.52,100.48,3.39,5.3
2021,11,14,2.48,0.07,4.27,101.13,2.3,3.66
2021,11,15,4.08,0.32,4.52,101.75,3.95,5.81
2021,11,16,4.74,0.22,5.0,101.29,3.31,5.12
2021,11,17,3.98,0.14,4.46,100.7,4.26,5.98
2021,11,18,5.92,1.19,5.43,100.9,6.77,9.12
2021,11,19,9.23,2.09,6.77,100.62,9.34,12.49
2021,11,20,9.84,0.7,7.02,100.5,7.59,10.34
2021,11,21,6.77,0.89,5.55,99.7,5.31,7.36
2021,11,22,3.66,0.28,4.46,100.65,3.16,4.75
2021,11,23,1.58,0.73,4.03,101.16,5.2,7.05
2021,11,24,4.62,0.7,5.13,100.93,3.96,6.16
2021,11,25,-0.33,0.0,3.3,99.82,4.29,7.16
2021,11,26,0.91,3.87,3.72,98.78,2.54,3.9
2021,11,27,-0.13,0.74,3.6,98.27,2.41,4.17
2021,11,28,-1.5,4.89,3.36,98.41,2.69,4.29
2021,11,29,-0.7,1.41,3.54,98.54,5.59,7.43
2021,11,30,0.65,3.27,3.85,98.45,8.05,10.97
2021,12,1,1.29,4.18,4.15,98.36,5.73,8.36
2021,12,2,2.2,0.05,3.78,98.19,9.05,12.7
2021,12,3,-1.51,0.16,2.87,99.45,6.37,8.66
2021,12,4,-1.26,0.92,2.99,99.11,4.62,6.9
2021,12,5,-0.68,3.21,3.36,99.08,3.73,5.38
2021,12,6,-2.62,0.78,2.69,99.96,3.91,5.34
2021,12,7,-3.27,0.16,2.5,100.18,3.61,4.85
2021,12,8,-4.42,0.04,2.38,99.87,6.36,8.48
2021,12,9,-4.49,3.15,2.5,99.5,4.48,6.02
2021,12,10,-2.96,1.64,2.87,98.96,3.73,5.82
2021,12,11,-4.08,0.07,2.62,100.06,2.55,3.73
2021,12,12,-3.07,0.07,2.87,101.14,3.07,4.95
2021,12,13,-0.31,0.71,3.66,101.3,1.66,2.94
2021,12,14,0.77,1.18,3.97,101.32,2.88,5.28
2021,12,15,1.53,0.42,4.21,101.58,3.33,6.3
2021,12,16,2.55,0.76,4.46,101.72,5.18,8.18
2021,12,17,2.0,0.52,4.15,101.94,6.24,8.83
2021,12,18,1.61,0.63,4.15,101.79,5.54,7.73
2021,12,19,3.56,1.35,4.76,100.31,7.91,10.64
2021,12,20,-1.3,0.54,3.23,100.65,5.95,8.17
2021,12,21,-2.53,0.05,2.62,101.2,2.65,4.33
2021,12,22,-3.13,0.02,2.44,101.44,2.45,4.03
2021,12,23,-3.58,2.83,2.5,100.14,4.6,6.8
2021,12,24,-0.35,6.01,3.66,98.52,5.12,7.35
2021,12,25,-8.85,0.0,1.77,99.92,3.16,4.98
2021,12,26,-9.71,0.0,1.53,100.35,2.74,4.17
2021,12,27,-9.43,0.0,1.53,100.11,5.68,8.02
2021,12,28,-5.11,0.25,2.38,99.37,6.27,8.2
2021,12,29,-0.03,0.69,3.78,99.24,3.42,5.84
2021,12,30,2.72,2.71,4.76,99.93,4.52,8.08
2021,12,31,8.43,9.33,6.77,100.06,7.35,11.38
2022,1,1,8.37,3.52,6.71,100.69,5.38,8.08
2022,1,2,5.89,0.5,5.62,100.14,6.0,9.0
2022,1,3,6.56,7.13,5.86,99.32,7.61,10.95
2022,1,4,3.57,5.09,4.94,98.47,3.89,6.27
2022,1,5,2.24,3.04,4.33,98.54,5.31,8.04
2022,1,6,-0.96,0.85,3.11,99.74,6.69,9.48
2022,1,7,-1.56,0.05,2.87,100.42,5.27,7.14
2022,1,8,-0.71,1.3,3.3,99.79,4.03,6.19
2022,1,9,-2.52,0.01,2.93,99.12,4.79,7.09
2022,1,10,-4.18,0.05,2.56,100.76,3.63,6.04
2022,1,11,-5.24,0.05,2.38,102.22,1.69,2.5
2022,1,12,-3.27,0.45,2.69,102.29,3.59,5.29
2022,1,13,1.01,1.55,3.91,101.79,7.61,10.07
2022,1,14,1.65,1.41,4.15,101.15,8.92,12.17
2022,1,15,-1.32,0.29,3.23,101.42,4.46,6.05
2022,1,16,-0.05,0.67,3.42,100.71,4.81,6.67
2022,1,17,1.08,5.86,3.72,100.26,10.29,13.81
2022,1,18,-1.24,0.3,3.23,101.88,5.16,6.95
2022,1,19,0.41,0.41,3.72,100.99,5.41,7.86
2022,1,20,-0.43,1.47,3.17,99.67,9.64,13.02
2022,1,21,-2.12,1.92,2.69,100.44,8.1,11.11
2022,1,22,-2.39,0.43,2.75,101.07,4.39,6.58
2022,1,23,-1.71,0.21,2.87,101.82,1.64,2.8
2022,1,24,-0.22,1.17,3.6,102.08,3.06,5.09
2022,1,25,0.8,1.94,3.85,101.61,4.93,6.94
2022,1,26,0.76,1.53,3.91,101.2,5.86,8.38
2022,1,27,0.88,4.6,3.85,100.18,8.74,11.47
2022,1,28,1.39,4.61,3.85,100.29,9.42,12.78
2022,1,29,0.93,9.6,3.91,100.21,8.08,10.52
2022,1,30,3.55,2.47,4.15,99.12,14.59,19.25
2022,1,31,-0.78,0.3,3.48,99.36,3.91,5.4
2022,2,1,-0.52,6.87,3.48,99.15,5.92,7.85
2022,2,2,1.06,3.66,4.03,98.95,7.32,10.22
2022,2,3,0.41,4.0,3.66,100.37,4.34,6.41
2022,2,4,2.61,0.67,4.52,99.69,4.64,7.87
2022,2,5,2.51,2.65,4.15,99.87,8.56,11.77
2022,2,6,2.71,8.84,4.39,98.95,9.16,12.13
2022,2,7,2.42,2.33,4.09,99.12,8.72,11.73
2022,2,8,3.23,3.64,4.52,100.66,8.07,10.77
2022,2,9,6.72,1.95,5.68,100.89,6.73,9.59
2022,2,10,6.62,1.19,5.49,100.53,5.02,7.61
2022,2,11,1.38,6.19,4.09,100.76,4.14,6.26
2022,2,12,-1.13,0.06,2.93,101.92,4.37,6.28
2022,2,13,0.21,0.0,3.11,100.86,5.99,8.98
2022,2,14,0.95,0.0,3.36,99.95,6.98,10.28
2022,2,15,2.44,1.17,4.33,99.83,4.25,7.13
2022,2,16,4.49,2.61,4.76,99.0,8.89,11.57
2022,2,17,7.15,13.47,5.68,97.67,14.02,18.34
2022,2,18,5.37,1.32,4.82,98.95,9.6,12.79
2022,2,19,4.59,0.26,4.03,99.15,12.75,17.23
2022,2,20,3.19,4.84,4.39,99.32,7.52,10.19
2022,2,21,4.98,9.87,4.64,98.18,9.85,13.27
2022,2,22,3.3,2.28,4.39,99.5,6.74,9.29
2022,2,23,3.93,3.6,4.46,100.45,7.96,11.16
2022,2,24,3.67,0.04,4.33,100.31,6.46,9.53
2022,2,25,3.65,0.69,4.03,100.31,7.34,10.32
2022,2,26,2.45,0.83,4.09,101.62,2.86,4.52
