-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 03/31/2021 
Location: Latitude  41.2794   Longitude 1.9794 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 302.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,WS2M,PS,WS10M,PRECTOTCORR,T2M
2000,4,14,3.18,96.72,4.41,1.13,12.75
2000,4,15,3.38,97.03,4.66,0.37,11.63
2000,4,16,2.76,96.39,3.95,6.22,11.94
2000,4,17,2.93,97.29,4.17,0.13,12.45
2000,4,18,3.73,97.59,5.29,0.15,12.94
2000,4,19,2.21,97.72,3.27,0.1,14.9
2000,4,20,2.39,97.82,3.5,0.0,16.3
2000,4,21,1.91,98.0,2.84,0.0,17.03
2000,4,22,2.02,97.8,2.91,0.48,16.47
2000,4,23,4.61,97.93,6.43,3.98,14.23
2000,4,24,2.88,98.03,4.01,0.0,14.23
2000,4,25,1.98,97.67,2.75,0.0,16.27
2000,4,26,2.15,97.5,3.01,0.02,14.83
2000,4,27,2.55,96.9,3.59,1.0,13.8
2000,4,28,1.92,97.38,2.65,10.85,11.64
2000,4,29,1.7,98.02,2.27,0.24,13.21
2000,4,30,1.47,98.18,2.03,0.01,13.97
2000,5,1,1.61,97.92,2.2,0.04,15.05
2000,5,2,1.8,97.93,2.51,0.32,17.21
2000,5,3,1.64,98.07,2.27,0.0,17.95
2000,5,4,4.11,97.89,5.76,0.03,16.79
2000,5,5,1.85,97.53,2.66,1.57,17.37
2000,5,6,1.7,97.53,2.46,0.09,17.12
2000,5,7,1.7,97.76,2.42,0.16,16.82
2000,5,8,2.06,98.0,2.88,0.16,16.65
2000,5,9,3.88,97.71,5.36,1.01,17.67
2000,5,10,3.19,97.67,4.34,16.83,16.01
2000,5,11,1.69,98.06,2.36,0.52,16.78
2000,5,12,1.48,98.34,2.04,0.04,18.3
2000,5,13,1.8,98.45,2.56,0.0,19.61
2000,5,14,1.93,98.5,2.76,0.0,19.9
2000,5,15,1.82,98.5,2.59,0.11,19.98
2000,5,16,1.75,98.3,2.36,2.4,19.77
2000,5,17,1.34,98.13,1.82,1.45,19.77
2000,5,18,2.37,97.94,3.3,0.18,19.08
2000,5,19,2.98,97.92,4.08,1.91,17.47
2000,5,20,2.75,97.8,3.67,0.55,17.89
2000,5,21,1.49,97.77,2.02,1.08,18.01
2000,5,22,2.63,98.21,3.62,5.49,16.8
2000,5,23,2.3,98.42,3.08,0.03,19.05
2000,5,24,2.01,98.2,2.66,0.66,19.92
2000,5,25,1.94,98.21,2.65,0.59,20.3
2000,5,26,2.68,98.04,3.64,1.15,20.48
2000,5,27,2.61,98.17,3.49,2.66,17.22
2000,5,28,2.54,98.03,3.51,0.02,20.05
2000,5,29,2.79,98.25,3.87,0.06,21.39
2000,5,30,2.66,98.47,3.69,0.01,21.75
2000,5,31,2.62,98.54,3.53,0.0,21.18
2000,6,1,1.88,98.67,2.55,0.0,21.95
2000,6,2,1.8,98.54,2.45,0.23,21.84
2000,6,3,1.94,98.34,2.63,0.41,21.74
2000,6,4,1.75,98.25,2.35,0.3,21.53
2000,6,5,1.72,98.04,2.37,9.79,21.58
2000,6,6,2.11,98.29,2.91,3.15,19.41
2000,6,7,2.23,98.44,3.03,0.0,19.08
2000,6,8,2.23,98.15,3.08,0.0,20.07
2000,6,9,3.48,97.86,4.7,0.44,19.69
2000,6,10,4.23,97.32,5.71,8.39,16.49
2000,6,11,3.91,98.22,5.24,2.45,15.99
2000,6,12,2.8,98.72,3.84,0.49,19.33
2000,6,13,1.57,98.83,2.21,2.06,19.35
2000,6,14,1.53,98.9,2.23,1.68,20.3
2000,6,15,2.03,98.71,3.0,0.04,23.83
2000,6,16,2.02,98.54,2.97,0.0,25.39
2000,6,17,1.83,98.57,2.68,0.0,24.39
2000,6,18,3.79,98.81,5.3,0.0,22.3
2000,6,19,2.2,98.71,3.06,0.0,21.98
2000,6,20,2.39,98.4,3.15,0.0,21.04
2000,6,21,2.5,98.37,3.31,0.03,21.43
2000,6,22,2.09,98.48,2.76,0.0,22.64
2000,6,23,2.41,98.59,3.15,0.3,20.77
2000,6,24,2.75,98.43,3.69,0.22,21.23
2000,6,25,3.13,98.3,4.14,0.2,21.11
2000,6,26,2.41,98.34,3.19,0.01,22.35
2000,6,27,2.74,98.19,3.8,0.12,24.44
2000,6,28,2.25,98.15,3.05,0.0,24.24
2000,6,29,2.49,98.26,3.3,0.0,23.73
2000,6,30,2.54,98.02,3.33,0.0,23.69
2000,7,1,2.01,97.75,2.61,0.01,24.11
2000,7,2,2.17,97.69,3.04,0.0,24.56
2000,7,3,2.22,97.4,3.12,0.0,25.78
2000,7,4,2.98,97.7,4.05,0.01,23.45
2000,7,5,2.3,98.3,3.0,0.0,22.62
2000,7,6,1.78,98.15,2.41,0.0,23.43
2000,7,7,2.62,97.82,3.65,0.0,25.86
2000,7,8,2.41,98.02,3.29,0.01,24.14
2000,7,9,2.9,98.05,3.79,0.0,21.9
2000,7,10,3.15,97.08,4.27,1.33,21.3
2000,7,11,3.24,97.37,4.38,1.62,19.63
2000,7,12,3.11,98.22,4.12,0.22,19.48
2000,7,13,2.62,98.46,3.43,0.0,21.09
2000,7,14,2.54,98.02,3.44,0.07,23.05
2000,7,15,2.87,97.68,3.84,0.9,22.76
2000,7,16,2.67,97.95,3.55,0.52,20.14
2000,7,17,2.0,98.13,2.54,0.13,20.6
2000,7,18,2.16,98.18,2.84,0.03,21.74
2000,7,19,2.22,98.12,2.88,0.0,24.08
2000,7,20,2.16,98.13,2.84,0.0,24.48
2000,7,21,2.33,98.2,3.08,0.0,24.01
2000,7,22,2.31,97.96,3.11,0.0,24.11
2000,7,23,2.83,97.58,3.83,2.06,22.23
2000,7,24,2.8,97.48,3.87,0.02,24.19
2000,7,25,2.7,97.39,3.64,1.08,24.19
2000,7,26,1.95,97.78,2.71,0.02,23.95
2000,7,27,2.18,98.12,2.9,0.03,24.65
2000,7,28,2.68,98.24,3.57,0.25,24.12
2000,7,29,2.41,98.49,3.12,0.0,23.57
2000,7,30,2.54,98.64,3.3,0.82,23.28
2000,7,31,2.59,98.68,3.38,0.0,24.5
2000,8,1,2.05,98.61,2.75,0.0,24.76
2000,8,2,2.06,98.49,2.71,0.15,25.01
2000,8,3,2.76,98.3,3.64,0.61,23.36
2000,8,4,2.6,98.41,3.35,0.23,21.79
2000,8,5,2.02,98.54,2.62,3.01,21.3
2000,8,6,1.91,98.65,2.55,2.69,21.84
2000,8,7,2.15,98.58,2.85,0.0,23.13
2000,8,8,2.62,98.46,3.52,0.0,24.01
2000,8,9,2.16,98.45,2.86,0.0,24.05
2000,8,10,2.74,98.36,3.66,0.0,24.65
2000,8,11,2.26,97.97,3.01,0.01,23.55
2000,8,12,3.76,97.87,5.09,1.47,23.26
2000,8,13,2.69,98.27,3.74,0.01,24.56
2000,8,14,1.85,98.59,2.52,0.0,25.61
2000,8,15,2.19,98.6,3.05,0.04,26.59
2000,8,16,2.11,98.29,2.83,0.02,26.49
2000,8,17,1.87,98.1,2.45,0.03,25.88
2000,8,18,2.23,97.86,3.09,0.0,24.73
2000,8,19,2.05,97.91,2.88,0.0,25.67
2000,8,20,1.84,97.91,2.57,0.0,26.38
2000,8,21,2.87,97.88,3.99,0.26,25.62
2000,8,22,2.32,98.07,3.06,0.0,23.37
2000,8,23,2.07,98.21,2.73,0.0,24.08
2000,8,24,2.01,98.44,2.99,0.0,25.39
2000,8,25,2.3,98.03,3.36,0.0,26.68
2000,8,26,2.73,97.58,3.84,0.06,25.84
2000,8,27,2.7,98.3,3.59,0.06,23.4
2000,8,28,2.45,98.53,3.26,1.29,22.76
2000,8,29,2.09,98.35,2.78,0.15,23.28
2000,8,30,2.45,97.8,3.3,8.66,21.95
2000,8,31,2.15,97.64,2.96,0.48,22.0
2000,9,1,2.73,97.74,3.7,0.01,22.99
2000,9,2,2.82,97.96,3.74,13.42,21.55
2000,9,3,2.45,98.04,3.23,9.64,21.23
2000,9,4,1.99,98.23,2.55,0.48,21.22
2000,9,5,2.23,98.59,3.02,0.0,20.66
2000,9,6,2.52,98.34,3.38,0.0,21.96
2000,9,7,2.26,98.09,3.13,0.01,21.89
2000,9,8,2.22,98.43,3.02,0.0,21.68
2000,9,9,1.63,98.7,2.12,0.0,21.37
2000,9,10,1.45,98.52,1.95,0.01,21.05
2000,9,11,2.2,98.07,2.93,0.01,21.64
2000,9,12,1.95,97.98,2.6,0.24,22.38
2000,9,13,2.18,98.03,2.93,0.0,23.09
2000,9,14,2.35,98.11,3.16,0.01,23.36
2000,9,15,2.17,98.11,2.95,0.02,23.99
2000,9,16,1.2,97.98,1.61,0.01,23.81
2000,9,17,1.79,97.72,2.42,0.47,21.36
2000,9,18,1.41,97.38,1.91,15.36,19.63
2000,9,19,2.48,96.81,3.48,19.79,19.84
2000,9,20,4.63,97.26,6.36,3.0,16.32
2000,9,21,2.32,98.38,3.27,0.0,17.41
2000,9,22,1.4,98.49,1.88,0.0,20.35
2000,9,23,1.74,98.23,2.34,0.0,19.9
2000,9,24,1.77,98.35,2.41,0.12,20.17
2000,9,25,1.93,98.66,2.65,0.0,20.62
2000,9,26,1.07,98.58,1.48,0.91,20.11
2000,9,27,1.5,98.46,2.09,3.63,19.66
2000,9,28,2.44,97.69,3.2,10.73,20.27
2000,9,29,2.85,96.81,3.93,10.75,17.65
2000,9,30,1.66,97.14,2.27,0.23,16.59
2000,10,1,2.27,97.42,3.18,4.03,15.05
2000,10,2,4.01,98.02,5.52,0.27,16.05
2000,10,3,2.29,98.33,3.18,0.04,17.79
2000,10,4,1.8,98.32,2.53,0.0,18.41
2000,10,5,1.51,98.3,2.05,0.12,18.48
2000,10,6,1.52,98.47,2.12,0.13,17.15
2000,10,7,1.84,98.62,2.55,0.0,16.24
2000,10,8,2.27,98.42,3.2,0.0,16.6
2000,10,9,2.12,97.91,3.01,0.0,17.21
2000,10,10,2.57,97.04,3.59,2.19,16.39
2000,10,11,4.25,96.36,5.82,2.3,15.63
2000,10,12,2.2,96.52,3.12,3.67,14.11
2000,10,13,1.41,97.22,2.06,9.79,13.12
2000,10,14,1.58,97.51,2.23,1.02,14.48
2000,10,15,2.54,97.13,3.55,2.57,12.11
2000,10,16,3.42,97.94,4.7,1.9,12.04
2000,10,17,1.71,98.97,2.43,0.01,14.07
2000,10,18,2.02,98.89,2.95,0.0,14.67
2000,10,19,1.3,98.49,2.02,0.01,15.9
2000,10,20,2.7,98.28,3.7,0.47,16.1
2000,10,21,5.3,98.31,7.27,9.33,17.48
2000,10,22,4.88,98.87,6.66,13.74,16.55
2000,10,23,4.73,98.78,6.48,4.04,16.86
2000,10,24,4.44,98.75,6.14,0.31,15.39
2000,10,25,1.93,98.42,2.7,0.71,16.07
2000,10,26,1.05,98.33,1.61,0.25,16.5
2000,10,27,1.61,98.56,2.24,0.0,16.44
2000,10,28,1.94,98.45,2.87,0.0,16.02
2000,10,29,1.51,98.48,2.18,0.43,15.23
2000,10,30,2.76,97.74,3.91,0.73,14.58
2000,10,31,2.67,97.32,3.74,2.92,12.81
2000,11,1,3.28,97.9,4.78,0.04,10.69
2000,11,2,2.45,97.32,3.52,1.68,10.4
2000,11,3,4.75,97.16,6.52,0.19,10.48
2000,11,4,4.01,98.11,5.62,0.0,8.64
2000,11,5,3.23,97.71,4.47,0.86,10.73
2000,11,6,7.29,96.06,10.0,1.43,13.12
2000,11,7,5.79,96.52,7.95,0.03,8.9
2000,11,8,3.88,97.1,5.46,0.01,7.5
2000,11,9,3.18,97.95,4.63,0.0,7.96
2000,11,10,1.84,98.72,2.75,0.0,8.33
2000,11,11,1.01,98.84,1.41,0.01,9.65
2000,11,12,2.02,97.9,2.88,0.01,13.12
2000,11,13,2.51,97.13,3.63,2.83,11.8
2000,11,14,2.09,97.45,2.99,0.08,10.33
2000,11,15,1.91,97.95,2.77,0.12,9.08
2000,11,16,2.09,97.74,2.96,0.15,8.57
2000,11,17,2.19,97.93,3.35,0.06,7.83
2000,11,18,2.48,98.17,3.58,0.07,8.01
2000,11,19,3.09,97.7,4.21,0.32,9.78
2000,11,20,3.15,97.31,4.45,0.34,7.65
2000,11,21,3.26,97.76,4.75,0.02,8.03
2000,11,22,2.13,97.78,3.16,1.12,10.3
2000,11,23,4.95,97.18,6.82,5.7,11.16
2000,11,24,4.14,97.72,5.62,0.14,8.09
2000,11,25,2.61,97.8,3.8,0.01,8.17
2000,11,26,3.74,98.05,5.33,0.89,11.33
2000,11,27,1.99,98.44,3.05,0.43,12.53
2000,11,28,1.55,98.46,2.36,0.02,12.55
2000,11,29,1.11,97.93,1.66,6.13,12.45
2000,11,30,1.77,98.04,2.58,0.07,10.98
2000,12,1,1.9,98.28,2.69,0.01,11.37
2000,12,2,2.41,98.14,3.42,1.27,11.92
2000,12,3,2.2,98.49,3.31,0.05,8.36
2000,12,4,2.49,98.39,3.8,0.0,8.72
2000,12,5,1.61,98.28,2.37,0.3,10.95
2000,12,6,1.66,98.11,2.43,0.98,12.12
2000,12,7,2.98,97.62,4.23,2.3,12.31
2000,12,8,2.33,97.74,3.52,0.01,11.12
2000,12,9,3.32,98.44,4.88,0.0,8.85
2000,12,10,3.03,99.12,4.41,0.0,9.19
2000,12,11,2.45,99.37,3.61,0.0,10.97
2000,12,12,2.48,99.24,3.96,0.02,9.8
2000,12,13,1.63,99.06,2.6,0.04,10.41
2000,12,14,3.27,98.22,4.87,0.04,9.71
2000,12,15,2.89,97.97,4.16,0.24,7.58
2000,12,16,2.12,98.35,3.27,0.07,5.64
2000,12,17,2.88,98.29,4.17,0.11,6.36
2000,12,18,2.41,98.46,3.61,0.01,7.56
2000,12,19,1.47,98.36,2.14,0.0,9.73
2000,12,20,2.26,97.86,3.12,0.4,10.37
2000,12,21,3.15,97.73,4.63,2.99,10.33
2000,12,22,4.98,97.43,6.99,6.11,11.19
2000,12,23,4.02,97.13,5.59,12.44,10.63
2000,12,24,3.53,96.52,4.89,13.66,10.49
2000,12,25,3.05,96.23,4.42,0.16,8.05
2000,12,26,3.3,95.89,4.8,0.09,8.42
2000,12,27,3.44,95.68,4.91,0.18,7.37
2000,12,28,4.44,96.61,6.14,0.58,5.22
2000,12,29,5.3,96.81,7.33,0.14,7.68
2000,12,30,5.55,96.6,7.66,0.51,6.51
2000,12,31,3.49,98.07,5.02,0.0,2.94
2001,1,1,2.35,97.56,3.54,0.02,7.69
2001,1,2,3.73,97.39,5.25,0.33,8.85
2001,1,3,2.9,98.02,4.24,0.0,7.34
2001,1,4,3.69,97.87,5.44,0.44,8.46
2001,1,5,2.49,97.46,3.8,0.13,7.71
2001,1,6,2.43,97.06,3.41,0.3,9.93
2001,1,7,2.06,97.81,2.97,0.13,6.62
2001,1,8,3.79,98.11,5.53,0.98,4.33
2001,1,9,2.21,98.09,3.13,0.0,6.19
2001,1,10,1.96,97.91,2.95,0.0,7.87
2001,1,11,1.3,97.73,1.99,0.59,9.89
2001,1,12,2.78,97.51,4.09,1.26,10.33
2001,1,13,1.48,97.89,2.09,6.87,9.04
2001,1,14,2.05,98.3,2.94,4.8,7.76
2001,1,15,2.09,98.32,2.88,21.78,6.16
2001,1,16,2.1,98.13,3.08,4.8,5.89
2001,1,17,1.54,98.33,2.34,0.01,6.45
2001,1,18,1.55,98.09,2.25,0.2,5.96
2001,1,19,1.72,98.09,2.54,0.12,7.34
2001,1,20,1.79,98.8,2.7,0.12,6.83
2001,1,21,1.52,98.85,2.21,0.01,7.69
2001,1,22,2.02,98.14,2.94,0.02,7.44
2001,1,23,3.62,97.83,5.29,0.01,9.37
2001,1,24,3.24,97.58,4.76,0.21,10.62
2001,1,25,3.62,97.57,5.2,0.13,8.65
2001,1,26,4.32,97.62,5.97,1.98,6.31
2001,1,27,2.59,97.37,3.7,0.2,7.99
2001,1,28,3.9,96.13,5.47,6.02,7.33
2001,1,29,3.2,97.16,4.59,1.16,5.05
2001,1,30,3.63,98.1,5.27,0.0,4.32
2001,1,31,2.1,98.06,3.15,0.59,7.13
2001,2,1,2.21,98.49,3.2,0.47,6.18
2001,2,2,1.56,98.76,2.1,0.0,6.33
2001,2,3,2.23,98.46,3.3,0.0,8.48
2001,2,4,2.88,98.0,4.12,0.0,9.45
2001,2,5,3.09,98.04,4.62,0.0,8.62
2001,2,6,2.28,97.95,3.55,0.0,8.98
2001,2,7,2.26,97.51,3.32,0.12,10.39
2001,2,8,3.69,97.28,5.29,0.47,9.16
2001,2,9,4.02,98.51,5.73,1.71,6.2
2001,2,10,1.65,99.42,2.36,0.0,8.71
2001,2,11,1.21,100.04,1.73,0.02,11.41
2001,2,12,2.05,99.66,3.03,0.0,10.98
2001,2,13,2.06,98.68,2.84,0.81,10.05
2001,2,14,2.45,98.38,3.27,6.43,8.0
2001,2,15,5.09,98.96,7.12,0.37,9.01
2001,2,16,3.11,99.29,4.52,0.0,8.69
2001,2,17,1.41,99.09,2.03,0.0,9.62
2001,2,18,1.44,99.13,2.04,0.11,6.97
2001,2,19,2.0,99.35,3.06,0.0,8.8
2001,2,20,1.49,99.11,2.32,0.0,10.25
2001,2,21,2.22,99.01,3.37,0.0,8.51
2001,2,22,1.78,98.28,2.85,0.0,10.75
2001,2,23,2.45,97.42,3.54,0.0,9.26
2001,2,24,2.21,96.95,2.95,3.09,8.12
2001,2,25,2.55,97.34,3.58,0.3,5.07
2001,2,26,2.49,97.55,3.7,0.01,3.36
2001,2,27,4.08,96.29,5.68,0.05,4.73
2001,2,28,6.07,96.32,8.33,0.17,4.36
2001,3,1,3.87,96.96,5.28,0.25,5.87
2001,3,2,4.8,96.0,6.73,2.2,11.15
2001,3,3,4.51,96.08,6.34,0.02,13.0
2001,3,4,3.77,96.82,5.32,0.16,11.23
2001,3,5,1.86,97.7,2.97,1.52,12.97
2001,3,6,1.53,98.08,2.2,0.0,14.73
2001,3,7,2.07,97.63,3.0,1.8,15.36
2001,3,8,5.12,97.16,7.15,2.84,12.8
2001,3,9,2.53,97.62,3.8,0.05,12.57
2001,3,10,2.14,97.89,3.34,0.72,13.81
2001,3,11,1.88,98.25,2.84,0.14,14.19
2001,3,12,2.33,97.66,3.3,2.66,15.12
2001,3,13,3.62,98.2,5.09,0.01,10.54
2001,3,14,1.85,98.26,2.75,0.0,11.25
2001,3,15,1.66,98.01,2.45,0.0,11.45
2001,3,16,1.59,97.34,2.29,0.18,11.1
2001,3,17,4.27,97.13,6.01,1.4,11.26
2001,3,18,2.8,97.41,4.05,0.0,12.21
2001,3,19,2.41,97.96,3.61,0.0,13.07
2001,3,20,2.85,97.86,4.39,0.01,15.51
2001,3,21,4.01,97.56,5.83,0.01,16.44
2001,3,22,3.61,97.64,5.24,0.0,16.76
2001,3,23,1.84,97.46,2.82,0.0,18.59
2001,3,24,2.79,96.86,4.05,0.0,16.89
2001,3,25,3.95,96.91,5.61,0.15,13.62
2001,3,26,1.77,97.07,2.7,1.82,12.22
2001,3,27,1.83,97.5,2.69,0.74,12.2
2001,3,28,2.12,97.61,3.16,0.07,12.65
2001,3,29,4.59,97.31,6.43,1.92,11.24
2001,3,30,3.9,97.84,5.48,0.29,11.7
2001,3,31,2.07,98.54,2.97,0.0,13.15
2001,4,1,1.88,98.6,2.64,0.0,14.79
2001,4,2,1.94,98.5,2.7,0.0,13.83
2001,4,3,1.72,98.44,2.35,0.0,13.02
2001,4,4,2.51,98.14,3.59,0.05,14.08
2001,4,5,2.73,98.5,3.86,0.03,13.2
2001,4,6,2.16,98.21,3.24,0.73,16.52
2001,4,7,5.67,97.61,7.88,1.01,13.89
2001,4,8,4.64,98.27,6.5,0.46,12.89
2001,4,9,1.8,98.73,2.61,0.0,14.52
2001,4,10,2.91,98.39,4.18,0.14,14.69
2001,4,11,3.54,98.32,4.98,0.28,12.04
2001,4,12,2.32,98.46,3.33,0.04,13.01
2001,4,13,1.54,98.27,2.04,0.01,12.83
2001,4,14,2.45,98.37,3.49,0.0,11.55
2001,4,15,3.23,98.33,4.55,0.0,12.87
2001,4,16,2.38,97.91,3.33,0.04,13.73
2001,4,17,1.61,97.92,2.2,0.02,11.24
2001,4,18,2.41,97.63,3.26,0.1,11.41
2001,4,19,1.99,97.23,2.73,0.62,12.44
2001,4,20,2.45,97.27,3.14,1.82,10.08
2001,4,21,4.01,97.38,5.57,4.67,8.01
2001,4,22,3.7,97.19,5.1,0.1,10.06
2001,4,23,3.98,97.07,5.73,0.16,15.62
2001,4,24,2.52,97.58,3.67,0.04,16.57
2001,4,25,3.06,98.04,4.54,0.04,15.87
2001,4,26,2.2,98.6,3.06,0.0,13.87
2001,4,27,1.79,98.22,2.47,0.01,13.9
2001,4,28,2.23,98.13,3.06,0.0,15.52
2001,4,29,2.9,97.56,3.91,1.28,13.47
2001,4,30,3.61,97.05,4.94,12.4,12.15
2001,5,1,3.14,97.87,4.27,9.29,10.15
2001,5,2,2.38,97.76,3.24,1.37,11.31
2001,5,3,0.84,97.38,1.12,4.58,11.36
2001,5,4,1.92,97.12,2.75,3.73,11.98
2001,5,5,1.52,97.3,2.16,4.95,12.44
